"file_stem","realty_address__street_number","realty_address__street_name","realty_address__zip_code","realty_address__city","epc_before_renovations","living_area_sqm","realty_type","year_of_built","surface","price"
"e492840_eng","True","True","False","False","True","False","False","True","True","False"
"AUT_A2520_lang_expose","True","True","True","False","False","False","False","False","True","False"
"DE-Muster-Expose3-ausf++hrlich","False","False","False","False","True","False","False","False","False","True"
"e492830_eng","True","True","False","False","True","False","False","True","True","False"
"e492846_eng","True","True","False","False","True","False","False","False","False","False"
"DE-Muster-Expose4","False","False","False","False","False","False","False","False","True","False"
"immoweb.be_en_print_20232365","False","False","False","False","True","False","False","True","False","False"
"DE-Muster-Expose2","True","True","False","False","False","False","False","False","False","False"
"beeindruckendes_luxuspenthouse_mit_terrasse_und_garage_eng","True","True","False","False","True","False","False","False","False","False"
"expose-13858024-1728995178","True","False","False","False","True","False","False","False","False","False"
"e492810_eng","True","True","False","False","True","False","False","False","True","False"
